,caption,kluster
0,Kata siapa warna pink cuma bisa dipakai buat cewe? kalian juga bisa tampil maskulin dengan short shirt pink yang satu ini😎,0
1,Colour up your day with Erigo New Short Shirt Series🧡,3
2,New Short Shirt Series is out now!!Yuk tampil formal dan santai sekaligus dengan Erigo New Short Shirt Series💙,4
3,Waktunya belanja untuk outfit Lebaran nanti✨Btw New Short Shirt Series sekarang udah release di @shopee_id dan @tokopedia yuk klik link di bio!,0
4,Siap-siap pasang alarm kalian🔥New Short Shirt Series bakalan release pukul 00:00 WIB nanti!!,0
5,Dear valued customers.Terimakasih banyak ya atas antusiasme yang luar biasa dari teman-teman pada saat big ramadhan sale kemarin pesanan kamu terus kita proses setiap hari nya.Erigo squad siap tempur dan semangat melayani orderan teman-teman semua dengan sepenuh hati.Dukung kami terus ya 💪🏼💪🏼,0
6,Ada yang gak asing sama short shirt yang satu ini gak? 🤭,0
7,Masih ada waktu buat nikmatin Discount up to 70% di Promo Puncak Shopee Big Ramadhan Sale🔥Belanja Erigo sebanyak-banyaknya dan dapetin Honda Brio Iphone 12 pro max Iwatch dan masih banyak lagi🥳Yuk masukin ke keranjang shopee kalian!,0
8,Jangan lupa saksikan Shopee Big Ramadhan Sale TV SHOW. Karena akan ada promo-promo menarik dari Erigo. Catat tanggal dan waktunya ya!🧡Jumat 30 April 2021 Pukul 19:00 WIB Live di Shopee Live RCTI SCTV Indosiar ANTV MNCTV dan Youtube Shopee Indonesia,0
9,Waktunya THR! waktunya Belanjaa!!🥳Yuk belanja di Erigo Official Shop Discount up to 70% all items  gratis ongkir Rp.0 dan banyak promo menarik lainnyaa. Belanja Erigo sebanyak-banyaknya di @shopee_id dan menangkan hadiah top spender Mobil Honda Brio Apple 12 pro max Apple Iwatch dan masih banyak hadiah menarik lainnya. Yuk klik link di bio!,0
10,Siap-siap pasang alarm kalian pukul 00:00 malam ini! selain Promo Puncak Big Ramadhan Sale banyak produk baru yang bakalan rilis🔥siap-siap masukin keranjang shopee kalian🥳,0
11,Belanja Erigo dapet Honda Brio ??!!😵Yuk belanja produk Erigo di @shopee_id sebanyak-banyaknya mulai tanggal 30 April - 12 Mei. Nominal pembelian terbanyak bakalan dapetin hadiah :- Honda Brio (1 unit)- Niu Motor Listrik (1 unit)- Iphone 12pro Max (1 unit)- Segway (1 unit)- Laptop Ultrabook Zenbook 14” (1 unit)- Ipad 4 (1 unit)- Drone Dji Mavic Air2 (1 unit)- iWatch (1 unit)- Emas 5 Gram (1 unit)- Mi Tv 4 32” Bezel less (1 unit)Sponsored by @jntexpressid @sicepat_ekspres @idexpress_indonesia,0
12,Jadi siapa aja nih yang setuju kalau kita eksekusi jam 00:00 malam ini sambil menunggu Puncak Promo Shopee Ramadhan Sale?🙋🏻‍♂️,0
13,Fear is a liar brave is a must🔥,4
14,Jam segini emang paling enak liat yang seger-seger sambil menunggu waktu berbuka puasa tiba💚💛,0
15,Gak terasa udah mendekati tanggal muda. Siap-siap buat checkout baju baru pilihan kalian nih🔥Btw new Sweatshirt Dauntless Olive udah tersedia di @shopee_id Yuk klik link di bio!,0
16,Who else is feeling this soft sage color?#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
17,Mendekati tanggal muda waktunya belanja di Erigo Official Shop di @shopee_id Btw koleksi terbaru Kolaborasi Resmi Disney X Erigo mana nih yang mau kalian checkout nanti? 😜#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
18,Sweatshirt Oh Mickey Navy siap untuk menemani aktivitas sehari-hari kalian💙#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
19,Tetap keren dan nyaman dengan Sweatshirt terbaru kolaborasi resmi @disneyindonesia & @erigostore Tersedia hanya di @shopee_id 🧡#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
20,Kolaborasi resmi @disneyindonesia & @erigostore sekarang udah bisa kalian dapatkan di @shopee_id🧡 Jadi kamu tim Sweatshirt atau T-shirt?#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
21,Our New Official Collaboration with @disneyindonesia Now Available at @shopee_id 🧡#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
22,New T-Shirt Series Official Collaboration with @disneyindonesia is out now!Available at @shopee_id#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
23,Waktunya checkout keranjang shopee kalian! Karena kolaborasi resmi @disneyindonesia & @erigostore sekarang sudah rilis di @shopee_id 🥳#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
24,New Sweatshirt Series Official Collaboration with @disneyindonesia is out now!Available at @shopee_id#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
25,Finally our official collaboration with @disneyindonesia is out now!Exclusive released at @shopee_id#YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
26,Siap-siap pantengin @shopee_id 🥳pukul 00.00 WIB nanti kolaborasi resmi @disneyindonesia & @erigostore akan launching di @shopee_id #YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
27,Are you ready?!Waktunya pasang alarm kalian karena pukul 00.00 WIB nanti kolaborasi resmi @disneyindonesia x @erigostore akan launching eksklusif di @shopee_id #YourMagicallImagination#DisneyErigo#DisneyIndonesia@disneyindonesia,14
